Row.names	Gene.names	Gene.description	AvgChrs	NormPosition	Gene Length	AT2_18M_F10	AT2_18M_F10_P
ENSMUSG00000000028	Cdc45	cell division cycle 45	15.191392365	0.191392365214939	14.944895039677872	1.09136738479621	24.362744987785998
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor	10.993152268	0.9931522682976878	14.18324767486776	4.2244766859572	23.98517833092709
ENSMUSG00000000058	Cav2	caveolin 2	5.115437082	0.11543708240739038	12.953105150591341	5.93775896780131	25.008173981110726
ENSMUSG00000000078	Klf6	Kruppel-like factor 6	12.048711660999999	0.04871166053469842	13.121533517340032	6.62627521686484	25.379361852213677
ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1	3.769721958	0.7697219580612675	16.930471704231547	5.34828015439881	23.60388302158857
ENSMUSG00000000126	Wnt9a	wingless-type MMTV integration site family, member 9A	10.485902722	0.4859027223900472	14.700439718141093	2.15512757240577	24.139848532948648
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase	16.67396142	0.6739614195253594	17.893420043921253	3.55908814944325	23.66010646919758
ENSMUSG00000000131	Xpo6	exportin 6	6.867366904	0.8673669039582448	16.592018976402713	5.7983274931415	23.763850628081233
ENSMUSG00000000134	Tfe3	transcription factor E3	19.045423738	0.045423738493619234	13.625937099538461	5.4055039534076	24.484712035282126
ENSMUSG00000000142	Axin2	axin 2	10.892310754	0.8923107540444992	14.893396342087943	4.7681589061209015	23.93226947895761
ENSMUSG00000000148	Brat1	BRCA1-associated ATM activator 1	4.926746059	0.9267460588912608	13.810571634741146	3.9116637847545697	24.00965127997114
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12	4.927287599	0.9272875985305176	16.136170073426182	5.87949205791888	23.90652198878431
ENSMUSG00000000154	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	6.986558688	0.9865586881935776	14.64374347482167	4.210817900480491	23.90796577214916
ENSMUSG00000000157	Itgb2l	integrin beta 2-like	15.981927962	0.981927962154684	14.380663980540803	0.0202770275987136	24.476570606338534
ENSMUSG00000000159	Igsf5	immunoglobulin superfamily, member 5	15.982036614	0.9820366144559971	17.322561952466355	5.68497483853168	23.58110802293694
ENSMUSG00000000167	Pih1d2	PIH1 domain containing 2	8.406285291	0.40628529081117226	12.906702732460797	3.22981020012382	24.066206966699283
ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	8.406116135	0.4061161348948607	12.863992637170805	5.72043426667884	24.907581295543118
